GemeentecodeGM,Regio’s,Personen,Personen met persoonlijk inkomen,Aandeel personen,Gemiddeld gestandaardiseerd inkomen,Mediaan gestandaardiseerd inkomen,Gemiddeld persoonlijk inkomen,Mediaan persoonlijk inkomen
GM1680,Aa en Hunze,"24,9","20,9",100,"36,9","34,1","35,3","28,5"
GM0358,Aalsmeer,"31,5","25,5",100,"42,4","36,5","40,3","30,9"
GM0197,Aalten,"26,6",22,100,"34,2","31,5","30,9",26
GM0059,Achtkarspelen,"27,6","21,9",100,31,"29,1","29,1","24,3"
GM0482,Alblasserdam,"19,9","15,6",100,"35,2","32,2","34,2","27,1"
GM0613,Albrandswaard,"25,1","19,8",100,"41,4",38,"43,1","34,4"
GM0361,Alkmaar,"108,5","89,6",100,35,"32,5","35,2","29,1"
GM0141,Almelo,"71,5","58,5",100,"31,5","28,8","29,8","24,2"
GM0034,Almere,"211,1","164,7",100,"34,5","32,4",36,30
GM0484,Alphen aan den Rijn,"110,6","90,1",100,"37,6","34,3",37,"30,5"
GM1723,Alphen-Chaam,"10,2","8,5",100,"39,9","36,3","36,9","29,8"
GM1959,Altena,"55,5","44,2",100,"37,6","33,8","35,3",28
GM0060,Ameland,"3,7","3,1",100,"36,5","30,7","32,6","25,6"
GM0307,Amersfoort,"154,9","123,6",100,"38,3","34,8","39,6",32
GM0362,Amstelveen,"88,7","68,3",100,"43,6","35,8","48,4",33
GM0363,Amsterdam,"856,6",709,100,"38,9","32,7","41,8","30,9"
GM0200,Apeldoorn,"160,2","131,7",100,"35,5","32,5","34,9","28,3"
GM0202,Arnhem,"157,2","128,3",100,"32,3","29,3","33,7","26,6"
GM0106,Assen,"66,6","54,6",100,"32,6","30,8","32,9","27,4"
GM0743,Asten,"16,6","13,9",100,"37,2","33,7","33,2","26,8"
GM0744,Baarle-Nassau,"6,7","5,6",100,"36,3","33,3","33,7","26,6"
GM0308,Baarn,"23,6","19,1",100,"41,8","35,4","42,2","30,8"
GM0489,Barendrecht,"48,1",38,100,"40,5",37,"41,2","32,6"
GM0203,Barneveld,59,45,100,"37,6","33,4","34,9","27,9"
GM0888,Beek (L.),"15,7","13,3",100,"35,3","32,9","34,6","27,9"
GM1954,Beekdaelen,"35,3","29,7",100,"35,7","33,1","34,7",28
GM0889,Beesel,"13,3","11,2",100,"33,4",31,"30,9","25,5"
GM1945,Berg en Dal,"34,1","28,7",100,"36,1","32,7","33,9",27
GM1724,Bergeijk,"18,6","15,6",100,"39,2","35,1","35,6","28,3"
GM0893,Bergen (L.),"12,9",11,100,"34,5","32,1","31,5","26,1"
GM0373,Bergen (NH.),"28,8","24,5",100,"45,9","35,7","40,4","28,1"
GM0748,Bergen op Zoom,"65,8","54,1",100,"34,2","31,6","34,3","27,2"
GM1859,Berkelland,"43,2","36,5",100,"34,7","32,3","31,8","26,5"
GM1721,Bernheze,"30,9","25,6",100,"39,6","34,9","35,1",28
GM0753,Best,"30,1","24,8",100,"38,8","35,4",38,"29,9"
GM0209,Beuningen,"25,9","21,4",100,"37,5","34,3","36,4","29,4"
GM0375,Beverwijk,"41,2","33,6",100,"33,7","31,8","34,3","28,6"
GM0310,De Bilt,"42,6",34,100,"44,8","37,7","45,7","32,8"
GM1728,Bladel,"20,2",17,100,"38,1","34,6","34,5","28,7"
GM0376,Blaricum,"11,8",9,100,"63,8",40,"56,2","33,8"
GM0377,Bloemendaal,"22,8","17,8",100,"65,6","45,3","60,1","35,2"
GM1901,Bodegraven-Reeuwijk,"34,9",28,100,"40,4","35,5","38,3","30,2"
GM0755,Boekel,"10,6","8,8",100,"38,1","34,7","33,3",28
GM1681,Borger-Odoorn,"25,3","21,1",100,"34,1","31,4","32,1","26,2"
GM0147,Borne,"23,3","18,8",100,"36,3","33,4","35,5","29,2"
GM0654,Borsele,"22,5","18,3",100,"36,6","33,6","34,5","28,4"
GM0757,Boxtel,"32,2","26,7",100,"37,9","33,3","34,6",28
GM0758,Breda,"180,2","147,9",100,"37,3","33,4","37,8","29,3"
GM1876,Bronckhorst,"35,6","30,2",100,"38,1","33,8","33,4","26,9"
GM0213,Brummen,"20,5","17,3",100,"36,8","33,2",34,"27,6"
GM0899,Brunssum,"27,1","22,9",100,"30,8","28,8","30,1","25,1"
GM0312,Bunnik,"15,2",12,100,"41,4","38,9","42,6","35,1"
GM0313,Bunschoten,"21,7",17,100,"38,4","34,6","35,6",29
GM0214,Buren,"26,8","21,9",100,"40,2","35,3","37,6","29,6"
GM0502,Capelle aan den IJssel,"66,3","53,5",100,"34,4","31,6","35,5","28,8"
GM0383,Castricum,"35,5","29,6",100,"42,2","37,1","39,7","31,6"
GM0109,Coevorden,"34,6","28,8",100,"33,7","31,3","31,9",26
GM1706,Cranendonck,"20,1","16,7",100,"36,6","33,4","34,2","27,9"
GM0216,Culemborg,"28,8","23,1",100,"36,2","33,6",37,"30,2"
GM0148,Dalfsen,"28,6","23,4",100,"36,8","33,8","33,7","28,4"
GM1891,Dantumadiel,"18,5","14,8",100,"31,6","29,3",29,"23,8"
GM0503,Delft,"99,2","81,5",100,"31,9","28,8","33,6","26,4"
GM0762,Deurne,"31,8","26,3",100,"36,1","33,1","33,5","27,4"
GM0150,Deventer,"98,9","80,8",100,"33,5","31,3","33,6","27,7"
GM0384,Diemen,"30,2","24,6",100,"35,5","33,6","38,4","31,1"
GM1980,Dijk en Waard,85,"68,7",100,"36,1","33,6","34,8",29
GM1774,Dinkelland,"26,1",22,100,"38,9","35,4","33,2","28,1"
GM0221,Doesburg,"10,9","9,3",100,32,"29,8","31,3","25,4"
GM0222,Doetinchem,"56,8","46,9",100,"34,3","31,6","32,7",27
GM0766,Dongen,"25,9","21,4",100,36,"33,9","34,7","28,8"
GM0505,Dordrecht,"116,5","94,7",100,"34,3","31,5","34,6","28,1"
GM0498,Drechterland,"19,6","16,2",100,"38,9","34,1","34,9","28,2"
GM1719,Drimmelen,"26,7","22,3",100,"37,8","34,7","35,9","28,8"
GM0303,Dronten,41,"33,2",100,"35,4","32,3","34,4","28,3"
GM0225,Druten,"18,5","15,3",100,"36,2","33,6","34,5","28,5"
GM0226,Duiven,"24,8","20,7",100,36,"33,6","34,5","28,2"
GM1711,Echt-Susteren,"30,7",26,100,"35,1","32,2","33,8","27,2"
GM0385,Edam-Volendam,"35,9","29,7",100,"41,1","36,5","37,1","28,7"
GM0228,Ede,"116,5","92,6",100,"36,9","33,3","35,4","28,8"
GM0317,Eemnes,"9,3","7,6",100,"41,1","36,1","39,3","30,4"
GM1979,Eemsdelta,"44,4","36,7",100,"30,9","28,7","30,3","24,7"
GM0770,Eersel,"19,1","15,8",100,"42,8","36,4","38,1","30,2"
GM1903,Eijsden-Margraten,"25,5","21,3",100,"39,2","35,4","37,4","30,2"
GM0772,Eindhoven,"229,9","189,3",100,"34,1","30,7","36,5","28,6"
GM0230,Elburg,23,"18,3",100,"34,4","31,9","32,4","26,4"
GM0114,Emmen,"104,9",87,100,"31,7","29,2","30,3","24,4"
GM0388,Enkhuizen,"18,3","15,1",100,"35,6","31,2","32,9",27
GM0153,Enschede,154,"126,2",100,"30,6",28,"30,1","23,6"
GM0232,Epe,"32,6",27,100,"36,7","32,5","33,5","26,5"
GM0233,Ermelo,"25,6",21,100,"37,5","33,3","35,4","28,3"
GM0777,Etten-Leur,"43,2","35,1",100,"35,7",33,"35,2","28,7"
GM1940,De Fryske Marren,"50,8","41,9",100,35,32,"32,8","26,3"
GM0779,Geertruidenberg,"21,4","17,6",100,"35,7","32,8","34,7","28,3"
GM1771,Geldrop-Mierlo,"39,7","32,6",100,37,"33,4","36,6","28,5"
GM1652,Gemert-Bakel,"30,5",25,100,"36,4",33,"33,7","27,7"
GM0907,Gennep,"16,2","13,6",100,"34,8","32,6","32,9","27,4"
GM0784,Gilze en Rijen,"25,7","21,3",100,"35,4","33,3",34,"27,8"
GM1924,Goeree-Overflakkee,"49,5","40,3",100,"37,3","33,5","35,9","28,2"
GM0664,Goes,"37,6","31,4",100,"35,5","32,1","34,1","27,5"
GM0785,Goirle,"23,5","19,3",100,"37,6","34,9","36,7","29,9"
GM1942,Gooise Meren,"57,6","44,8",100,"50,1","39,4","51,7","33,6"
GM0512,Gorinchem,"36,8","29,8",100,"34,9","31,8","35,3","28,1"
GM0513,Gouda,"72,3","58,6",100,"34,9","32,5","35,8","29,1"
GM0518,s-Gravenhage ,"529,3","414,6",100,"34,4","29,5","36,9","27,2"
GM0014,Groningen ,"224,1","187,7",100,"30,6","27,8","31,9",25
GM1729,Gulpen-Wittem,"13,9","11,9",100,"36,1","32,9","34,6","27,4"
GM0158,Haaksbergen,"23,8",20,100,"35,8","33,3","32,7","26,9"
GM0392,Haarlem,"159,6","128,5",100,"38,3",34,"40,5","31,5"
GM0394,Haarlemmermeer,"155,7","125,1",100,"39,6","35,8","39,9","31,7"
GM1655,Halderberge,"29,8","24,7",100,"35,7","32,9","34,5","27,3"
GM0160,Hardenberg,"60,1","48,7",100,"34,5","31,8","31,6","26,6"
GM0243,Harderwijk,"47,7","38,5",100,"35,5","32,6","34,5","28,3"
GM0523,Hardinxveld-Giessendam,"18,2","14,1",100,"36,4","33,1","34,4","27,3"
GM0072,Harlingen,"15,5","12,9",100,"31,1","28,6","30,1","23,8"
GM0244,Hattem,"12,1","9,7",100,"37,3","33,3",36,"28,9"
GM0396,Heemskerk,"38,5",32,100,"35,8","33,3","35,4",29
GM0397,Heemstede,"26,9","21,2",100,52,"41,9","53,2","35,3"
GM0246,Heerde,"18,4",15,100,"35,9","32,6","33,7","27,4"
GM0074,Heerenveen,"49,8","40,7",100,"34,3","31,2","33,2","26,7"
GM0917,Heerlen,"84,8","71,3",100,"29,1","26,7","29,6","24,1"
GM1658,Heeze-Leende,"15,9","13,2",100,"41,4","37,3","39,4","30,8"
GM0399,Heiloo,"23,8","19,8",100,"41,6","37,1","40,7","31,1"
GM0400,Den Helder,"54,6","45,6",100,"31,6","29,7","31,8","26,9"
GM0163,Hellendoorn,"35,3",29,100,"35,1","32,5","32,2",27
GM0794,Helmond,"91,7","74,3",100,"33,4","30,6","33,2","26,6"
GM0531,Hendrik-Ido-Ambacht,"30,9","23,7",100,"38,8","35,1","39,1","31,6"
GM0164,Hengelo (O.),"79,7","66,3",100,"33,3","30,7","32,6","26,6"
GM0796,s-Hertogenbosch,"152,7","126,2",100,"36,9","33,5","38,1",30
GM0252,Heumen,"16,3","13,6",100,40,"36,1","38,6","30,7"
GM0797,Heusden,"44,5","36,7",100,"37,9","34,2","35,7","28,4"
GM0534,Hillegom,"21,8","17,9",100,37,"33,7","36,6","29,9"
GM0798,Hilvarenbeek,"15,5","13,1",100,"40,1","36,8","36,6","29,9"
GM0402,Hilversum,"89,5","71,1",100,40,34,"42,1","30,7"
GM1963,Hoeksche Waard,"86,9","70,8",100,39,"35,1","37,8","30,2"
GM1735,Hof van Twente,"34,5","29,1",100,"36,8","33,7","33,5","27,5"
GM1966,Het Hogeland,47,"38,5",100,"32,2","29,8","30,9","25,6"
GM1911,Hollands Kroon,"48,1","40,2",100,"35,8","32,5",33,"26,9"
GM0118,Hoogeveen,"54,2",44,100,"31,9","29,5","30,1",25
GM0405,Hoorn,"72,6","59,3",100,"34,6","31,9",34,28
GM1507,Horst aan de Maas,"41,8","35,8",100,"36,9","33,7",33,"27,4"
GM0321,Houten,"49,7","39,4",100,"40,8","37,7","42,2",34
GM0406,Huizen,"40,3","32,9",100,"39,9","34,1","38,9","29,4"
GM0677,Hulst,"26,8","22,2",100,"35,3","32,4",35,"27,5"
GM0353,IJsselstein,"33,4","27,3",100,"39,3","35,3",38,"30,8"
GM1884,Kaag en Braassem,"27,3","22,6",100,"40,3","35,7","37,5","30,3"
GM0166,Kampen,"53,5","42,5",100,"33,6","31,1","31,7","26,4"
GM0678,Kapelle,"12,8","10,3",100,"36,5","34,1","35,2","28,4"
GM0537,Katwijk,"64,7","51,5",100,"36,7","33,6",35,"28,1"
GM0928,Kerkrade,"44,1","37,1",100,"29,3",27,"29,2","24,2"
GM1598,Koggenland,"22,6","18,9",100,"38,5","35,4","34,6","28,7"
GM0542,Krimpen aan den IJssel,"28,9","23,2",100,37,"32,5",35,"27,6"
GM1931,Krimpenerwaard,"55,9","45,1",100,"37,8",34,36,"28,8"
