GemeentecodeGM,Municipality,Locations,Total_capacity
GM1680,Aa en Hunze,1,364
GM0358,Aalsmeer,0,0
GM0197,Aalten,0,0
GM0059,Achtkarspelen,0,0
GM0482,Alblasserdam,0,0
GM0613,Albrandswaard,0,0
GM0361,Alkmaar,0,0
GM0141,Almelo,0,0
GM0034,Almere,3,1020
GM0484,Alphen aan den Rijn,0,0
GM1723,Alphen-Chaam,0,0
GM1959,Altena,0,0
GM0060,Ameland,0,0
GM0307,Amersfoort,2,455
GM0362,Amstelveen,1,60
GM0363,Amsterdam,10,3903
GM0200,Apeldoorn,2,360
GM0202,Arnhem,8,1768
GM0106,Assen,3,1565
GM0743,Asten,0,0
GM0744,Baarle-Nassau,0,0
GM0308,Baarn,1,90
GM0489,Barendrecht,1,50
GM0203,Barneveld,0,0
GM0888,Beek (L.),0,0
GM1954,Beekdaelen,1,248
GM0889,Beesel,0,0
GM1945,Berg en Dal,2,110
GM1724,Bergeijk,0,0
GM0893,Bergen (L.),0,0
GM0373,Bergen (NH.),0,0
GM0748,Bergen op Zoom,0,0
GM1859,Berkelland,1,44
GM1721,Bernheze,0,0
GM0753,Best,0,0
GM0209,Beuningen,0,0
GM0375,Beverwijk,0,0
GM0310,De Bilt,0,0
GM1728,Bladel,0,0
GM0376,Blaricum,1,250
GM0377,Bloemendaal,0,0
GM1901,Bodegraven-Reeuwijk,1,100
GM0755,Boekel,0,0
GM1681,Borger-Odoorn,0,0
GM0147,Borne,0,0
GM0654,Borsele,0,0
GM0757,Boxtel,0,0
GM0758,Breda,2,342
GM1876,Bronckhorst,0,0
GM0213,Brummen,0,0
GM0899,Brunssum,0,0
GM0312,Bunnik,0,0
GM0313,Bunschoten,0,0
GM0214,Buren,0,0
GM0502,Capelle aan den IJssel,1,30
GM0383,Castricum,0,0
GM0109,Coevorden,1,500
GM1706,Cranendonck,1,1500
GM0216,Culemborg,0,0
GM0148,Dalfsen,0,0
GM1891,Dantumadiel,0,0
GM0503,Delft,2,390
GM0762,Deurne,0,0
GM0150,Deventer,2,598
GM0384,Diemen,0,0
GM1980,Dijk en Waard,2,650
GM1774,Dinkelland,0,0
GM0221,Doesburg,0,0
GM0222,Doetinchem,1,75
GM0766,Dongen,0,0
GM0505,Dordrecht,0,0
GM0498,Drechterland,0,0
GM1719,Drimmelen,0,0
GM0303,Dronten,1,1000
GM0225,Druten,1,100
GM0226,Duiven,2,180
GM1711,Echt-Susteren,1,420
GM0385,Edam-Volendam,0,0
GM0228,Ede,2,410
GM0317,Eemnes,1,32
GM1979,Eemsdelta,2,822
GM0770,Eersel,0,0
GM1903,Eijsden-Margraten,1,48
